description,min_salary,max_salary,min_vacany,max_vacany,min_expense,max_expense
IT Consulting & Other Services,8674.652985133796,14030.188305252725,0,9,18388.24578790882,14033.98364717542
Industrial Machinery,5810.163934426229,9634.426229508197,0,9,7863.934426229508,9638.0
Integrated Telecommunication Services,5884.615384615385,10232.307692307691,0,5,91878.46153846153,10259.4
Interactive Media & Services,4421.538461538462,7263.076923076923,0,85,6772.307692307692,7266.410256410257
Internet & Direct Marketing Retail,6474.1463414634145,10242.19512195122,0,8,10033.414634146342,10245.439024390244
Internet Services & Infrastructure,17571.428571428572,31842.85714285714,0,5,8071.428571428572,31843.5
Investment Banking & Brokerage,10244.011976047905,16543.11377245509,0,8,14573.353293413174,16546.37125748503
Leisure Products,3485.4545454545455,6163.636363636364,0,6,5890.909090909091,6165.0
Life Sciences Tools & Services,7037.855828571428,11180.285714285714,0,60,7412.857142857143,11182.138095238095
Movies & Entertainment,3473.3333333333335,6724.0,0,5,6140.0,6727.622222222222
Oil & Gas Equipment & Services,10332.272727272728,16179.545454545454,0,3,10390.90909090909,16180.704545454546
Packaged Foods & Meats,16850.0,21850.0,0,3,4550.0,21851.166666666668
Personal Products,8077.264363636364,12394.545454545454,0,4,3872.7272727272725,12395.151515151516
Property & Casualty Insurance,8810.95890410959,13828.767123287671,0,99,45201.3698630137,13837.315068493152
Real Estate Operating Companies,7062.032085561497,10666.524064171123,0,6,21826.20320855615,10671.716577540106
Regional Banks,8128.203592814371,13451.85628742515,0,7,17378.443113772457,13457.601796407185
Research & Consulting Services,7822.666666666667,12557.916666666666,0,8,13992.083333333334,12561.184722222222
Restaurants,5160.0,8400.0,0,2,4680.0,8401.0
Semiconductors,8811.746031746032,14020.63492063492,0,5,9054.603174603175,14021.645502645502
Specialty Chemicals,6566.6972399999995,10725.897239999998,0,6,3504.0,10726.43724
Specialty Stores,8160.0,11980.0,0,3,8740.0,11981.266666666666
Steel,14966.666666666666,27344.444444444445,0,6,22900.0,27345.88888888889
Systems Software,9360.108317213115,16019.610422950818,0,9,13009.45081967213,16021.098332786883
Technology Distributors,6987.75623268698,11186.759002770083,0,8,10298.725761772854,11189.462603878117
"Technology Hardware, Storage & Peripherals",23300.0,40400.0,0,1,22400.0,40400.666666666664
Thrifts & Mortgage Finance,4800.0,11600.0,0,30,14800.0,11610.333333333334
Trading Companies & Distributors,9442.857142857143,15714.285714285714,0,2,5564.285714285715,15714.952380952382
