description,min_salary,max_salary,min_vacany,max_vacany,min_expense,max_expense
Health Care Services,61728.773630913354,77789.57057985949,1,9,96038.00548103046,77791.19118875878
Health Care Technology,49113.58636363636,68542.35454545455,1,9,82005.95,68544.08181818182
Human Resource & Employment Services,64235.7357531746,85691.39549550264,1,8,86904.23728227513,85692.91136851851
IT Consulting & Other Services,87854.3606557377,120953.5606557377,1,3,93691.30327868853,120954.63442622952
Industrial Machinery,46019.0,65262.0,2,2,92038.0,65264.0
Investment Banking & Brokerage,90112.82352941176,115503.35294117648,1,2,104606.94117647059,115504.4705882353
Life Sciences Tools & Services,65862.8947368421,76572.42105263157,1,3,76658.94736842105,76573.57894736843
Oil & Gas Equipment & Services,60544.818181818184,83132.0609090909,1,2,104338.81818181818,83133.96999999999
Personal Products,64841.0,67000.0,3,3,194523.0,67003.0
Real Estate Operating Companies,66219.5,92280.0,1,21,771619.5,92291.0
Regional Banks,67103.0,74333.75,1,1,67103.0,74334.75
Research & Consulting Services,73215.87940165457,101494.79636589992,1,9,137429.86335694106,101496.82340383374
Specialty Chemicals,45193.0,77500.0,1,4,112982.5,77502.5
Technology Distributors,100796.0,111021.6,1,1,100796.0,111022.6
