description,min_salary,max_salary,vacany
Health Care Services,61728.773630913354,77789.57057985949,1
Health Care Technology,49113.58636363636,68542.35454545455,1
Human Resource & Employment Services,64235.7357531746,85691.39549550264,1
IT Consulting & Other Services,87854.3606557377,120953.5606557377,1
Industrial Machinery,46019.0,65262.0,2
Investment Banking & Brokerage,90112.82352941176,115503.35294117648,1
Life Sciences Tools & Services,65862.8947368421,76572.42105263157,1
Oil & Gas Equipment & Services,60544.818181818184,83132.0609090909,1
Personal Products,64841.0,67000.0,3
Real Estate Operating Companies,66219.5,92280.0,1
Regional Banks,67103.0,74333.75,1
Research & Consulting Services,73215.87940165457,101494.79636589992,1
Specialty Chemicals,45193.0,77500.0,1
Technology Distributors,100796.0,111021.6,1
