min_salary,max_salary,vacany,description,min_expense,max_expense
105746,150000,1,Research & Consulting Services,105746.0,150001.0
57490,85912,4,Research & Consulting Services,229960.0,85916.0
60889,78923,1,Research & Consulting Services,60889.0,78924.0
58682,159671,1,Construction & Engineering,58682.0,159672.0
58682,134570,1,Construction & Engineering,58682.0,134571.0
190000,205000,1,Data Processing & Outsourced Services,190000.0,205001.0
62.74,62.74,1,Construction & Engineering,62.74,63.74
160000,170000,1,Research & Consulting Services,160000.0,170001.0
48170,48170,1,Diversified Support Services,48170.0,48171.0
60000,60000,1,Research & Consulting Services,60000.0,60001.0
66066,181807,1,Health Care Services,66066.0,181808.0
84451,113550,1,Research & Consulting Services,84451.0,113551.0
79620,91563,5,Research & Consulting Services,398100.0,91568.0
45697,59308,1,Health Care Services,45697.0,59309.0
47418,54531,2,Health Care Services,94836.0,54533.0
86185,99113,1,Diversified Support Services,86185.0,99114.0
68428,68428,1,Research & Consulting Services,68428.0,68429.0
57078,85646,3,Construction & Engineering,171234.0,85649.0
97187,210000,1,Research & Consulting Services,97187.0,210001.0
100000,180000,1,Construction & Engineering,100000.0,180001.0
74041,85147,3,Construction & Engineering,222123.0,85150.0
0,150000,1,Research & Consulting Services,0.0,150001.0
103055,105000,1,Research & Consulting Services,103055.0,105001.0
58682,159671,1,Auto Parts & Equipment,58682.0,159672.0
67738,77899,1,Human Resource & Employment Services,67738.0,77900.0
80931,208826,1,Research & Consulting Services,80931.0,208827.0
78745,133496,1,Construction & Engineering,78745.0,133497.0
84451,92896,1,Research & Consulting Services,84451.0,92897.0
145000,145000,1,Research & Consulting Services,145000.0,145001.0
67757,98128,1,Construction & Engineering,67757.0,98129.0
71255,104894,2,Research & Consulting Services,142510.0,104896.0
50470,50470,1,Research & Consulting Services,50470.0,50471.0
70611,81203,1,Research & Consulting Services,70611.0,81204.0
68262,78501,1,Research & Consulting Services,68262.0,78502.0
61206,97919,1,Data Processing & Outsourced Services,61206.0,97920.0
94283,122290,1,Research & Consulting Services,94283.0,122291.0
59116,82170,1,Research & Consulting Services,59116.0,82171.0
37.28,43.4,1,Environmental & Facilities Services,37.28,44.4
74893,84257,1,Research & Consulting Services,74893.0,84258.0
73393,84401,1,Research & Consulting Services,73393.0,84402.0
57976,84276,1,Health Care Technology,57976.0,84277.0
65709,75565,1,Research & Consulting Services,65709.0,75566.0
55816,64188,1,Health Care Services,55816.0,64189.0
57490,66114,1,Research & Consulting Services,57490.0,66115.0
57078,85646,1,Construction & Engineering,57078.0,85647.0
59116,91768,1,Environmental & Facilities Services,59116.0,91769.0
45329,52128,1,Health Care Services,45329.0,52129.0
110000,136749,1,Diversified Support Services,110000.0,136750.0
74041,88055,1,Construction & Engineering,74041.0,88056.0
91090,133327,1,Construction & Engineering,91090.0,133328.0
58300,58300,5,Research & Consulting Services,291500.0,58305.0
58682,134570,1,Research & Consulting Services,58682.0,134571.0
74730,130000,1,Data Processing & Outsourced Services,74730.0,130001.0
56181,68034,1,Research & Consulting Services,56181.0,68035.0
79620,117541,1,Research & Consulting Services,79620.0,117542.0
94715,94715,1,Diversified Support Services,94715.0,94716.0
57976,66672,1,Research & Consulting Services,57976.0,66673.0
70435,70435,2,Research & Consulting Services,140870.0,70437.0
92446,92446,1,Research & Consulting Services,92446.0,92447.0
56069,78142,1,Research & Consulting Services,56069.0,78143.0
64922,144066,1,Construction & Engineering,64922.0,144067.0
62370,93587,1,Construction & Engineering,62370.0,93588.0
67757,98128,1,Construction & Engineering,67757.0,98129.0
60000,60000,4,Research & Consulting Services,240000.0,60004.0
45329,52128,3,Health Care Services,135987.0,52131.0
60001,67000,1,Human Resource & Employment Services,60001.0,67001.0
