min_salary,max_salary,vacany,description,min_expense,max_expense
59116,91768,3,Human Resource & Employment Services,177348.0,91771.0
58700,192152,1,Research & Consulting Services,58700.0,192153.0
60000,60000,3,Research & Consulting Services,180000.0,60003.0
65232,85000,1,Data Processing & Outsourced Services,65232.0,85001.0
75000,114432,1,Research & Consulting Services,75000.0,114433.0
100743,115854,1,IT Consulting & Other Services,100743.0,115855.0
73393,84401,1,Research & Consulting Services,73393.0,84402.0
41887,48170,1,Research & Consulting Services,41887.0,48171.0
68262,78501,1,Research & Consulting Services,68262.0,78502.0
35895,53478,1,Human Resource & Employment Services,35895.0,53479.0
62370,93587,3,Research & Consulting Services,187110.0,93590.0
48170,48170,2,Research & Consulting Services,96340.0,48172.0
110000,130000,1,Research & Consulting Services,110000.0,130001.0
65232,151810,1,Data Processing & Outsourced Services,65232.0,151811.0
150000,160000,1,Diversified Support Services,150000.0,160001.0
49003,72195,4,Research & Consulting Services,196012.0,72199.0
67983,67983,1,Research & Consulting Services,67983.0,67984.0
60328,87126,1,Research & Consulting Services,60328.0,87127.0
64296,75000,1,Research & Consulting Services,64296.0,75001.0
64922,173486,1,Research & Consulting Services,64922.0,173487.0
45329,77633,4,Diversified Support Services,181316.0,77637.0
51340,78045,5,Research & Consulting Services,256700.0,78050.0
82506,94882,1,Research & Consulting Services,82506.0,94883.0
43728,68645,1,Human Resource & Employment Services,43728.0,68646.0
39763,45728,1,Human Resource & Employment Services,39763.0,45729.0
58682,159671,1,Construction & Engineering,58682.0,159672.0
39763,45728,1,Human Resource & Employment Services,39763.0,45729.0
49322,56720,1,Research & Consulting Services,49322.0,56721.0
69090,105477,1,Research & Consulting Services,69090.0,105478.0
225000,246000,1,Research & Consulting Services,225000.0,246001.0
78721,149350,1,IT Consulting & Other Services,78721.0,149351.0
60010,85000,1,IT Consulting & Other Services,60010.0,85001.0
80000,90000,1,Research & Consulting Services,80000.0,90001.0
57078,65640,6,Research & Consulting Services,342468.0,65646.0
51345,73495,1,Research & Consulting Services,51345.0,73496.0
56181,68034,2,Research & Consulting Services,112362.0,68036.0
79620,91563,1,Research & Consulting Services,79620.0,91564.0
63228,82000,1,Research & Consulting Services,63228.0,82001.0
39763,64420,1,Human Resource & Employment Services,39763.0,64421.0
49033,52545,1,Research & Consulting Services,49033.0,52546.0
60617,69709,1,Research & Consulting Services,60617.0,69710.0
62384,95000,1,Health Care Services,62384.0,95001.0
36390,41848,2,Human Resource & Employment Services,72780.0,41850.0
68900,68900,1,Health Care Services,68900.0,68901.0
50349,55017,1,Research & Consulting Services,50349.0,55018.0
85371,109990,1,IT Consulting & Other Services,85371.0,109991.0
79620,117541,2,Research & Consulting Services,159240.0,117543.0
75000,110749,1,Health Care Services,75000.0,110750.0
64142,95000,1,Research & Consulting Services,64142.0,95001.0
88026,108150,2,Research & Consulting Services,176052.0,108152.0
85371,109990,1,IT Consulting & Other Services,85371.0,109991.0
94715,94715,1,Research & Consulting Services,94715.0,94716.0
92301,106146,1,Health Care Services,92301.0,106147.0
94715,125000,1,Diversified Support Services,94715.0,125001.0
43728,51500,1,Health Care Services,43728.0,51501.0
47203,66054,3,Research & Consulting Services,141609.0,66057.0
47203,66054,3,Research & Consulting Services,141609.0,66057.0
97012,97012,1,Health Care Services,97012.0,97013.0
225000,225000,1,Research & Consulting Services,225000.0,225001.0
56181,64608,5,Construction & Engineering,280905.0,64613.0
41887,48170,1,Diversified Support Services,41887.0,48171.0
57078,65640,3,Research & Consulting Services,171234.0,65643.0
15.5,19.9,1,Construction & Engineering,15.5,20.9
59116,64000,1,Health Care Services,59116.0,64001.0
80557,111917,1,Construction & Engineering,80557.0,111918.0
67311,82000,1,Research & Consulting Services,67311.0,82001.0
103026,130000,1,Research & Consulting Services,103026.0,130001.0
59116,91768,1,Research & Consulting Services,59116.0,91769.0
53019,55855,1,Data Processing & Outsourced Services,53019.0,55856.0
59116,91768,1,Research & Consulting Services,59116.0,91769.0
54272,83117,1,Diversified Support Services,54272.0,83118.0
75000,95000,1,Research & Consulting Services,75000.0,95001.0
72038,192152,1,Research & Consulting Services,72038.0,192153.0
105746,121608,1,Research & Consulting Services,105746.0,121609.0
65775,99115,1,Human Resource & Employment Services,65775.0,99116.0
15.5,19.9,1,Construction & Engineering,15.5,20.9
75504,94761,1,Research & Consulting Services,75504.0,94762.0
200000,230800,1,Research & Consulting Services,200000.0,230801.0
15,17.5,1,Research & Consulting Services,15.0,18.5
61800,61800,1,Research & Consulting Services,61800.0,61801.0
92301,100000,1,Research & Consulting Services,92301.0,100001.0
40017,62820,1,Data Processing & Outsourced Services,40017.0,62821.0
87003,128440,3,Research & Consulting Services,261009.0,128443.0
78721,209971,1,Research & Consulting Services,78721.0,209972.0
64922,173486,1,Research & Consulting Services,64922.0,173487.0
56181,64608,2,Construction & Engineering,112362.0,64610.0
62370,85886,1,Construction & Engineering,62370.0,85887.0
68262,78501,1,Research & Consulting Services,68262.0,78502.0
56181,68034,1,Research & Consulting Services,56181.0,68035.0
74041,91405,4,Construction & Engineering,296164.0,91409.0
22.9267,38.1549,1,Research & Consulting Services,22.9267,39.1549
70087,84805,1,Human Resource & Employment Services,70087.0,84806.0
60889,70022,1,Research & Consulting Services,60889.0,70023.0
51528,59257,1,Research & Consulting Services,51528.0,59258.0
51413,59125,8,Research & Consulting Services,411304.0,59133.0
77201,88000,2,Life Sciences Tools & Services,154402.0,88002.0
43728,50287,1,Health Care Services,43728.0,50288.0
47437,68273,3,Human Resource & Employment Services,142311.0,68276.0
51816,59588,1,Research & Consulting Services,51816.0,59589.0
74041,107227,1,Research & Consulting Services,74041.0,107228.0
72038,192152,1,Research & Consulting Services,72038.0,192153.0
58682,134570,1,Research & Consulting Services,58682.0,134571.0
60889,94521,1,Research & Consulting Services,60889.0,94522.0
74781,85998,1,Health Care Services,74781.0,85999.0
41483,47705,1,Research & Consulting Services,41483.0,47706.0
43728,50287,1,Human Resource & Employment Services,43728.0,50288.0
59116,78362,1,Diversified Support Services,59116.0,78363.0
46019,65262,2,Industrial Machinery,92038.0,65264.0
56313,64760,1,Research & Consulting Services,56313.0,64761.0
74041,85147,3,Construction & Engineering,222123.0,85150.0
64142,115000,1,Research & Consulting Services,64142.0,115001.0
66430,76394,2,Human Resource & Employment Services,132860.0,76396.0
92446,92446,1,Research & Consulting Services,92446.0,92447.0
39763,45728,1,Diversified Support Services,39763.0,45729.0
60.33,60.33,1,Diversified Support Services,60.33,61.33
58700,192152,1,Research & Consulting Services,58700.0,192153.0
94715,94715,1,Health Care Services,94715.0,94716.0
84257,95208,1,Research & Consulting Services,84257.0,95209.0
85000,90000,1,Health Care Services,85000.0,90001.0
43780,71517,1,Diversified Support Services,43780.0,71518.0
105000,105000,1,Data Processing & Outsourced Services,105000.0,105001.0
62117,71434,1,Health Care Services,62117.0,71435.0
64142,95000,1,Research & Consulting Services,64142.0,95001.0
86101,115000,1,Research & Consulting Services,86101.0,115001.0
80557,111917,1,Research & Consulting Services,80557.0,111918.0
70000,74561,1,Regional Banks,70000.0,74562.0
62384,80000,1,Research & Consulting Services,62384.0,80001.0
58700,161534,1,Construction & Engineering,58700.0,161535.0
86101,90633,1,Research & Consulting Services,86101.0,90634.0
80440,167610,5,Research & Consulting Services,402200.0,167615.0
81571,101230,1,Construction & Engineering,81571.0,101231.0
67170,80000,2,Research & Consulting Services,134340.0,80002.0
90114,122168,1,Construction & Engineering,90114.0,122169.0
91090,235036,1,IT Consulting & Other Services,91090.0,235037.0
45428,68741,1,Research & Consulting Services,45428.0,68742.0
95000,100000,1,Research & Consulting Services,95000.0,100001.0
108071,163119,1,IT Consulting & Other Services,108071.0,163120.0
56313,64760,1,Environmental & Facilities Services,56313.0,64761.0
75000,128750,1,Research & Consulting Services,75000.0,128751.0
84451,113550,1,Human Resource & Employment Services,84451.0,113551.0
70087,77097,1,Research & Consulting Services,70087.0,77098.0
180000,200000,1,Research & Consulting Services,180000.0,200001.0
50913,52440,1,Research & Consulting Services,50913.0,52441.0
92283,176512,5,Research & Consulting Services,461415.0,176517.0
59116,91768,1,Human Resource & Employment Services,59116.0,91769.0
120000,120000,1,Research & Consulting Services,120000.0,120001.0
72000,85000,1,Research & Consulting Services,72000.0,85001.0
98470,133496,1,Research & Consulting Services,98470.0,133497.0
53702,148745,1,Construction & Engineering,53702.0,148746.0
68202,78432,1,Research & Consulting Services,68202.0,78433.0
58700,161534,1,Construction & Engineering,58700.0,161535.0
42000,45000,1,Human Resource & Employment Services,42000.0,45001.0
110000,110000,1,Research & Consulting Services,110000.0,110001.0
78721,197348,1,Construction & Engineering,78721.0,197349.0
55816,64188,1,Health Care Services,55816.0,64189.0
75000,95481,1,Research & Consulting Services,75000.0,95482.0
40957,47100,1,Research & Consulting Services,40957.0,47101.0
59116,75000,1,Human Resource & Employment Services,59116.0,75001.0
84451,113550,1,Research & Consulting Services,84451.0,113551.0
84451,113550,1,Research & Consulting Services,84451.0,113551.0
54272,83117,1,Diversified Support Services,54272.0,83118.0
66430,76394,1,Health Care Services,66430.0,76395.0
95000,105000,1,Construction & Engineering,95000.0,105001.0
70940,144066,1,Construction & Engineering,70940.0,144067.0
59116,67983,1,Research & Consulting Services,59116.0,67984.0
92064,92064,1,Health Care Services,92064.0,92065.0
49961,49961,1,Health Care Services,49961.0,49962.0
68500,68500,1,Research & Consulting Services,68500.0,68501.0
58700,161534,1,Research & Consulting Services,58700.0,161535.0
92194,130372,1,IT Consulting & Other Services,92194.0,130373.0
