Team,Tournament,Goals,Shots pg,yellow_cards,red_cards,Possession%,Pass%,AerialsWon,Rating,URL,Homepage
Manchester City,Premier League,83,15.8,46,2,60.8,89.4,12.8,7.01,https://www.wikidata.org/wiki/Q50602,https://www.mancity.com/
Bayern Munich,Bundesliga,99,17.1,44,3,58.1,85.5,12.9,6.95,https://www.wikidata.org/wiki/Q15789,https://fcbayern.com/en
Paris Saint-Germain,Ligue 1,86,15,73,7,60.1,89.5,9.5,6.88,https://www.wikidata.org/wiki/Q483020,https://en.psg.fr/
Barcelona,LaLiga,85,15.3,68,2,62.4,89.7,10.6,6.87,https://www.wikidata.org/wiki/Q7156,https://www.fcbarcelona.com/en/
Real Madrid,LaLiga,67,14.4,57,2,57.7,87.7,11.8,6.86,https://www.wikidata.org/wiki/Q8682,https://www.realmadrid.com/en-US
Manchester United,Premier League,73,13.8,64,1,54.5,84.8,14.5,6.85,https://www.wikidata.org/wiki/Q18656,https://www.manutd.com/
Juventus,Serie A,77,15.7,76,6,55.4,88.3,11.4,6.85,https://www.wikidata.org/wiki/Q1422,https://www.juventus.com/en/
Aston Villa,Premier League,55,13.7,63,4,49.1,78.6,19.4,6.84,https://www.wikidata.org/wiki/Q18711,https://www.avfc.co.uk/
Borussia Dortmund,Bundesliga,75,14.6,43,1,57.5,85.5,12.8,6.84,https://www.wikidata.org/wiki/Q41420,https://www.bvb.de/de/en.html
Atletico Madrid,LaLiga,67,12.1,100,0,51.8,83.1,14.4,6.84,https://www.wikidata.org/wiki/Q8701,https://en.atleticodemadrid.com/
Atalanta,Serie A,90,16.3,66,3,53.5,83.5,16.8,6.84,https://www.wikidata.org/wiki/Q1886,https://en.atalanta.it/
Chelsea,Premier League,58,14.6,49,3,58.6,87,15.2,6.83,https://www.wikidata.org/wiki/Q9616,https://www.chelseafc.com/en
Liverpool,Premier League,68,16,40,0,59,85.7,14.3,6.82,https://www.wikidata.org/wiki/Q1130849,https://www.liverpoolfc.com/
AC Milan,Serie A,74,14.7,80,4,51.4,84,15.2,6.82,https://www.wikidata.org/wiki/Q1543,http://www.acmilan.com/en
Lille,Ligue 1,64,12.8,67,2,52.6,83.5,15.8,6.82,https://www.wikidata.org/wiki/Q19516,https://www.losc.fr/
Tottenham,Premier League,68,11.7,53,2,51.3,81.8,16.4,6.81,https://www.wikidata.org/wiki/Q18741,https://www.tottenhamhotspur.com/
Napoli,Serie A,86,17,71,3,54.1,87,11.1,6.81,https://www.wikidata.org/wiki/Q2641,https://sscnapoli.it/en/
Leicester,Premier League,68,12.8,61,0,53.2,82.1,16.2,6.8,https://www.wikidata.org/wiki/Q19481,https://www.lcfc.com/
Wolfsburg,Bundesliga,61,14.1,56,3,51,78,16.9,6.8,https://www.wikidata.org/wiki/Q101859,https://www.vfl-wolfsburg.de/en/home
Inter,Serie A,89,14.5,59,2,52,87,11.8,6.8,https://www.wikidata.org/wiki/Q631,https://www.inter.it/en
Lyon,Ligue 1,81,16.1,60,10,53.6,84.7,14.3,6.8,https://www.wikidata.org/wiki/Q704,https://www.ol.fr/en
RB Leipzig,Bundesliga,60,16,57,0,57.3,83.2,18.6,6.78,https://www.wikidata.org/wiki/Q702455,https://rbleipzig.com/en
Leeds,Premier League,62,13.7,61,1,55.1,80.8,14.5,6.77,https://www.wikidata.org/wiki/Q1128631,https://www.leedsunited.com/
West Ham,Premier League,62,12.3,48,3,44.5,77.8,19.9,6.77,https://www.wikidata.org/wiki/Q18747,https://www.whufc.com/
Everton,Premier League,47,10.5,59,2,47.3,81.4,17.7,6.73,https://www.wikidata.org/wiki/Q5794,https://www.evertonfc.com/home
Bayer Leverkusen,Bundesliga,53,13,58,0,57.3,84.4,13.1,6.73,https://www.wikidata.org/wiki/Q104761,https://www.bayer04.de/
Eintracht Frankfurt,Bundesliga,69,13.2,80,1,52.4,79.6,17.9,6.73,https://www.wikidata.org/wiki/Q38245,https://en.eintracht.de/
Monaco,Ligue 1,76,12.8,74,7,54.2,82.7,16.5,6.73,https://www.wikidata.org/wiki/Q180305,https://www.asmonaco.com/en/
Roma,Serie A,68,14.3,84,3,51.5,84.5,12.1,6.71,https://www.wikidata.org/wiki/Q2739,https://www.asroma.com/en
Sevilla,LaLiga,53,12.1,75,2,58.7,86.2,16.6,6.7,https://www.wikidata.org/wiki/Q10329,http://sevillafc.es/en
Borussia M.Gladbach,Bundesliga,64,13.4,61,2,51.5,82,15.3,6.7,https://www.wikidata.org/wiki/Q101959,https://www.borussia.de/en
Arsenal,Premier League,55,12.1,47,5,52.7,85,13.5,6.69,https://www.wikidata.org/wiki/Q9617,https://www.arsenal.com/
Rennes,Ligue 1,52,13.5,80,5,56.8,85.6,16.9,6.69,https://www.wikidata.org/wiki/Q19509,https://www.staderennais.com/en
VfB Stuttgart,Bundesliga,56,13.4,63,2,51.5,81.1,16.3,6.68,https://www.wikidata.org/wiki/Q4512,https://www.vfb.de/en/
Wolverhampton Wanderers,Premier League,36,12.2,53,1,49.7,83.2,15.3,6.67,https://www.wikidata.org/wiki/Q19500,https://www.wolves.co.uk/
Sassuolo,Serie A,64,13.9,74,4,58.2,87.8,10.9,6.67,https://www.wikidata.org/wiki/Q8603,https://www.sassuolocalcio.it/en/
Metz,Ligue 1,44,11.5,82,4,46.9,79.8,16.1,6.66,https://www.wikidata.org/wiki/Q221525,https://www.fcmetz.com/
Villarreal,LaLiga,60,10.7,65,5,54.3,84.4,13,6.66,https://www.wikidata.org/wiki/Q12297,https://villarrealcf.es/en/
Real Sociedad,LaLiga,59,11.3,81,1,53.7,80.8,17.9,6.65,https://www.wikidata.org/wiki/Q10315,https://www.realsociedad.eus/en
Brighton,Premier League,40,12.8,45,6,50.7,81.3,14.2,6.65,https://www.wikidata.org/wiki/Q19453,https://www.brightonandhovealbion.com/
Real Betis,LaLiga,50,11.7,87,8,52.9,82,16.4,6.64,https://www.wikidata.org/wiki/Q8723,https://en.realbetisbalompie.es/
Burnley,Premier League,33,10.1,48,0,43.5,71.6,23.4,6.64,https://www.wikidata.org/wiki/Q19458,https://www.burnleyfootballclub.com/
Lens,Ligue 1,55,11.7,84,7,51.1,81.8,17.4,6.64,https://www.wikidata.org/wiki/Q191843,https://www.rclens.fr/fr/english
Brest,Ligue 1,50,11.8,60,4,49.4,81.3,18.6,6.64,https://www.wikidata.org/wiki/Q218372,https://www.sb29.bzh/
Fulham,Premier League,27,11.6,67,3,50,81.2,17.2,6.63,https://www.wikidata.org/wiki/Q18708,https://www.fulhamfc.com/
Marseille,Ligue 1,54,10,94,9,52.4,82,14.9,6.63,https://www.wikidata.org/wiki/Q132885,https://www.om.fr/en
Sampdoria,Serie A,52,11.3,81,3,46.1,78.5,16.8,6.63,https://www.wikidata.org/wiki/Q1457,https://www.sampdoria.it/
Montpellier,Ligue 1,60,12.2,65,7,46.4,78.8,17.9,6.63,https://www.wikidata.org/wiki/Q19513,https://mhscfoot.com/
Nice,Ligue 1,50,10.8,69,4,53.4,85.6,10.5,6.63,https://www.wikidata.org/wiki/Q185163,https://www.ogcnice.com/en/
Hoffenheim,Bundesliga,52,12.6,65,4,50.8,80.7,15.7,6.63,https://www.wikidata.org/wiki/Q22707,https://www.tsg-hoffenheim.de/en
Southampton,Premier League,47,11.2,52,3,51.4,79.3,14.1,6.62,https://www.wikidata.org/wiki/Q18732,https://www.southamptonfc.com/en
Newcastle United,Premier League,46,10.4,61,3,41.6,76,17.1,6.62,https://www.wikidata.org/wiki/Q18716,https://www.newcastleunited.com/en
Lazio,Serie A,61,13.8,100,5,52.2,83.8,14.6,6.62,https://www.wikidata.org/wiki/Q2609,https://www.sslazio.it/en/
Nantes,Ligue 1,47,10.8,68,4,45.2,77,18.1,6.62,https://www.wikidata.org/wiki/Q192071,https://www.fcnantes.com/
Union Berlin,Bundesliga,50,11.7,55,2,45.9,76.2,17.6,6.62,https://www.wikidata.org/wiki/Q141971,https://www.fc-union-berlin.de/en/
Strasbourg,Ligue 1,49,11.3,56,3,46.5,78.3,18.3,6.61,https://www.wikidata.org/wiki/Q126334,https://www.rcstrasbourgalsace.fr/en/racing-en/
Crystal Palace,Premier League,41,9.2,54,2,42.9,76.1,18.3,6.61,https://www.wikidata.org/wiki/Q19467,https://www.cpfc.co.uk/
Freiburg,Bundesliga,52,11.4,63,0,47.5,78.1,17.5,6.6,https://www.wikidata.org/wiki/Q106394,https://www.scfreiburg.com/en
Valencia,LaLiga,50,10.3,77,5,47.9,79.4,16.3,6.6,https://www.wikidata.org/wiki/Q10333,https://www.valenciacf.com/home
Celta Vigo,LaLiga,55,9.4,104,5,52,79.9,16.5,6.6,https://www.wikidata.org/wiki/Q8749,https://rccelta.es/en/
Reims,Ligue 1,42,9.6,75,8,46.3,80.7,13.4,6.6,https://www.wikidata.org/wiki/Q208228,https://www.stade-de-reims.com/
Torino,Serie A,50,12.2,72,4,48,80.5,16.1,6.59,https://www.wikidata.org/wiki/Q2768,https://www.torinofc.it/en
Verona,Serie A,43,10.6,91,1,49.6,76.3,20.6,6.59,https://www.wikidata.org/wiki/Q8639,https://www.hellasverona.it/en
Saint-Etienne,Ligue 1,42,11.6,76,2,49,79.3,16.4,6.59,https://www.wikidata.org/wiki/Q19521,https://www.asse.fr/
