min_salary,max_salary,vacany,description,min_expense,max_expense
1200.0,3000.0,0,Human Resource & Employment Services,0.0,3000.0
9600.0,16800.0,1,Application Software,9600.0,16801.0
12000.0,19200.0,1,Systems Software,12000.0,19201.0
1200.0,3600.0,0,IT Consulting & Other Services,0.0,3600.0
10800.0,18000.0,0,Systems Software,0.0,18000.0
15600.0,24000.0,0,Data Processing & Outsourced Services,0.0,24000.0
600.0,3600.0,1,Regional Banks,600.0,3601.0
18000.0,24000.0,0,Systems Software,0.0,24000.0
9600.0,16800.0,0,Systems Software,0.0,16800.0
4800.0,5400.0,0,Construction & Engineering,0.0,5400.0
6000.0,9600.0,1,Systems Software,6000.0,9601.0
12000.0,24000.0,0,Systems Software,0.0,24000.0
3000.0,6600.0,60,Data Processing & Outsourced Services,180000.0,6660.0
30000.0,42000.0,1,Technology Distributors,30000.0,42001.0
13200.0,19200.0,1,IT Consulting & Other Services,13200.0,19201.0
3000.0,4800.0,0,Health Care Technology,0.0,4800.0
7200.0,12000.0,1,Communications Equipment,7200.0,12001.0
9600.0,16800.0,1,Systems Software,9600.0,16801.0
9600.0,21600.0,0,Systems Software,0.0,21600.0
19200.0,37200.0,5,Systems Software,96000.0,37205.0
2400.0,3600.0,0,Advertising,0.0,3600.0
2400.0,6600.0,23,Application Software,55200.0,6623.0
2100.0,2400.0,20,Data Processing & Outsourced Services,42000.0,2420.0
2400.0,8400.0,0,Human Resource & Employment Services,0.0,8400.0
1200.0,6000.0,5,Human Resource & Employment Services,6000.0,6005.0
3300.0,6000.0,4,Systems Software,13200.0,6004.0
6000.0,9600.0,0,Advertising,0.0,9600.0
5400.0,8400.0,0,Systems Software,0.0,8400.0
5100.0,8400.0,0,Regional Banks,0.0,8400.0
1200.0,7200.0,2,Life Sciences Tools & Services,2400.0,7202.0
12000.0,19200.0,0,Application Software,0.0,19200.0
14400.0,24000.0,0,Research & Consulting Services,0.0,24000.0
19200.0,37200.0,0,IT Consulting & Other Services,0.0,37200.0
2100.0,3000.0,0,Health Care Services,0.0,3000.0
3600.0,9600.0,5,Diversified Support Services,18000.0,9605.0
6000.0,18000.0,10,Human Resource & Employment Services,60000.0,18010.0
2100.0,2700.0,0,Health Care Services,0.0,2700.0
30000.0,48000.0,10,Systems Software,300000.0,48010.0
7800.0,7800.0,0,Application Software,0.0,7800.0
1200.0,1800.0,1,Application Software,1200.0,1801.0
