min_salary,max_salary,vacany,description,min_expense,max_expense
12000.0,16800.0,1,Systems Software,12000.0,16801.0
3600.0,6000.0,1,Construction & Engineering,3600.0,6001.0
4800.0,9600.0,1,Systems Software,4800.0,9601.0
8400.0,13200.0,1,Semiconductors,8400.0,13201.0
3900.0,5100.0,1,Health Care Services,3900.0,5101.0
7800.0,16800.0,0,Systems Software,0.0,16800.0
1800.0,3600.0,10,Advertising,18000.0,3610.0
5400.0,7800.0,0,Systems Software,0.0,7800.0
2400.0,8400.0,1000,Data Processing & Outsourced Services,2400000.0,9400.0
6000.0,8400.0,1,Diversified Support Services,6000.0,8401.0
1500.0,4200.0,0,Human Resource & Employment Services,0.0,4200.0
1800.0,3000.0,5,Systems Software,9000.0,3005.0
960.0,3600.0,30,Diversified Support Services,28800.0,3630.0
9600.0,14400.0,1,Human Resource & Employment Services,9600.0,14401.0
2700.0,6600.0,0,Systems Software,0.0,6600.0
12000.0,22800.0,1,Systems Software,12000.0,22801.0
48000.0,72000.0,1,Investment Banking & Brokerage,48000.0,72001.0
9600.0,15600.0,1,Health Care Technology,9600.0,15601.0
7200.0,18000.0,1,Data Processing & Outsourced Services,7200.0,18001.0
3000.0,4200.0,1,Construction & Engineering,3000.0,4201.0
12000.0,16800.0,1,Systems Software,12000.0,16801.0
6000.0,10800.0,1,IT Consulting & Other Services,6000.0,10801.0
9600.0,21600.0,0,Systems Software,0.0,21600.0
2400.0,7200.0,0,Internet & Direct Marketing Retail,0.0,7200.0
1800.0,7800.0,1,Systems Software,1800.0,7801.0
15600.0,24000.0,0,Application Software,0.0,24000.0
1200.0,3900.0,15,Human Resource & Employment Services,18000.0,3915.0
4800.0,7800.0,2,Auto Parts & Equipment,9600.0,7802.0
10800.0,16800.0,1,Systems Software,10800.0,16801.0
1200.0,4200.0,1,Diversified Support Services,1200.0,4201.0
6000.0,10800.0,1,Data Processing & Outsourced Services,6000.0,10801.0
6000.0,12000.0,1,Technology Distributors,6000.0,12001.0
3600.0,6000.0,0,Internet & Direct Marketing Retail,0.0,6000.0
3600.0,6000.0,0,IT Consulting & Other Services,0.0,6000.0
18000.0,20400.0,1,Construction & Engineering,18000.0,20401.0
3000.0,5400.0,0,Health Care Services,0.0,5400.0
10800.0,18000.0,0,IT Consulting & Other Services,0.0,18000.0
9600.0,15600.0,50,Systems Software,480000.0,15650.0
10800.0,18000.0,0,Systems Software,0.0,18000.0
20400.0,24000.0,0,Health Care Services,0.0,24000.0
9600.0,14400.0,1,IT Consulting & Other Services,9600.0,14401.0
15600.0,20400.0,1,Human Resource & Employment Services,15600.0,20401.0
10800.0,14400.0,1,Construction & Engineering,10800.0,14401.0
4800.0,9600.0,1,IT Consulting & Other Services,4800.0,9601.0
2400.0,8400.0,0,Construction & Engineering,0.0,8400.0
1200.0,3600.0,50,IT Consulting & Other Services,60000.0,3650.0
7800.0,11400.0,3,Systems Software,23400.0,11403.0
12000.0,19200.0,0,Systems Software,0.0,19200.0
12000.0,22800.0,1234,Application Software,1.4808E7,24034.0
7200.0,9600.0,1,Semiconductors,7200.0,9601.0
2400.0,4800.0,200,Data Processing & Outsourced Services,480000.0,5000.0
1200.0,7200.0,0,Technology Distributors,0.0,7200.0
2400.0,5400.0,0,IT Consulting & Other Services,0.0,5400.0
