description,min_salary,max_salary,vacany
Human Resource & Employment Services,6292.230166666666,10885.93137254902,0
Diversified Metals & Mining,8400.0,12000.0,0
Steel,14966.666666666666,27344.444444444445,0
Interactive Media & Services,4421.538461538462,7263.076923076923,0
Research & Consulting Services,7822.666666666667,12557.916666666666,0
Specialty Stores,8160.0,11980.0,0
IT Consulting & Other Services,8674.652985133796,14030.188305252725,0
Life Sciences Tools & Services,7037.855828571428,11180.285714285714,0
Health Care Technology,6552.936567335243,10267.778974212033,0
Specialty Chemicals,6566.6972399999995,10725.897239999998,0
Packaged Foods & Meats,16850.0,21850.0,0
Technology Distributors,6987.75623268698,11186.759002770083,0
Construction Machinery & Heavy Trucks,5986.567164179104,9331.34328358209,0
Communications Equipment,8827.384615384615,14042.461538461539,0
Casinos & Gaming,5284.615384615385,8400.0,0
Advertising,5987.450699472759,9735.553117750438,0
"Technology Hardware, Storage & Peripherals",23300.0,40400.0,0
Consumer Finance,5440.0,8000.0,0
Property & Casualty Insurance,8810.95890410959,13828.767123287671,0
Systems Software,9360.108317213115,16019.610422950818,0
"Apparel, Accessories & Luxury Goods",6466.666666666667,9722.222222222223,0
Health Care Equipment,4680.0,7380.0,0
Semiconductors,8811.746031746032,14020.63492063492,0
Regional Banks,8128.203592814371,13451.85628742515,0
Internet Services & Infrastructure,17571.428571428572,31842.85714285714,0
Construction & Engineering,6317.234042553191,10079.36170212766,0
Health Care Facilities,3030.0,5175.0,0
